Named Entities:
  32 He
  25 Lucy
  23 Jonathan
  20 It
  19 Mina
  19 And
  16 You
  16 Van
  16 Helsing
  14 Madam
  11 Oh
   9 Then
   9 September
   9 Dr
   8 That
   8 No
   8 Miss
   8 Can
   8 But
   7 The
   7 Do
   6 When
   6 We
   6 Mrs
   6 London
   6 Harker
   6 God
   5 John
   5 If
   5 Exeter
   4 Westenra
   4 There
   4 So
   4 She
   4 Seward
   4 Professor
   4 Nor
   4 My
   4 In
   4 How
   4 By
   4 Arthur
   3 To
   3 Poor
   3 Not
   3 His
   3 Count
   3 Ah
   2 Your
   2 Yes
   2 What
   2 Westminster
   2 Well
   2 This
   2 Tell
   2 Quincey
   2 Perhaps
   2 Paddington
   2 Of
   2 Now
   2 Murray
   2 Mr
   2 Mein
   2 May
   2 Lord
   2 Let
   2 Is
   2 Indian
   2 Here
   2 Gott
   2 Good
   2 Godalming
   2 Gazette
   2 Forgive
   2 For
   2 Dear
   2 Charcot
   2 Believe
   2 As
   2 Again
   2 After
   1 Yours
   1 Will
   1 Why
   1 Whitby
   1 Whatever
   1 Western
   1 Until
   1 Unless
   1 Truly
   1 Transylvania
   1 Thursday
   1 They
   1 Therefore
   1 Thank
   1 Sunday
   1 Strange
   1 Spanish
   1 Sir
   1 Simply
   1 Renfield
   1 Please
   1 Parr
   1 Pampas
   1 Old
   1 News
   1 Never
   1 Morris
   1 Methuselah
   1 Mary
   1 Love
   1 Look
   1 Launceston
   1 Later
   1 Just
   1 Journal
   1 Husband
   1 Holland
   1 Hawkins
   1 Hampstead
   1 Finis
   1 Everything
   1 Doctor
   1 Did
   1 Diary
   1 Come
   1 Big
   1 At
   1 An
   1 Amsterdam
   1 American
   1 Alas
   1 Abraham

Sentiment Expressions:
