x, y, cos(2*pi*x), error
0.0, 1.05, 1.0, 0.050000000000000044
0.002, 1.048914, 0.9999210442038161, 0.04899295579618379
0.004, 1.045696, 0.9996841892832999, 0.04601181071670002
0.006, 1.040466, 0.9992894726405892, 0.041176527359410686
0.008, 1.03342, 0.9987369566060175, 0.03468304339398254
0.01, 1.024818, 0.9980267284282716, 0.026791271571728448
0.012, 1.014979, 0.9971589002606139, 0.01782009973938614
0.014, 1.004265, 0.9961336091431725, 0.008131390856827458
0.016, 0.993067, 0.9949510169813002, 0.0018840169813001406
0.018, 0.981786, 0.9936113105200084, 0.011825310520008347
0.02, 0.970826, 0.9921147013144779, 0.02128870131447791
0.022, 0.960566, 0.9904614256966512, 0.029895425696651157
0.024, 0.951355, 0.9886517447379141, 0.03729674473791411
0.026, 0.94349, 0.986685944207868, 0.04319594420786799
0.028, 0.937209, 0.9845643345292053, 0.04735533452920537
0.03, 0.932682, 0.9822872507286887, 0.04960525072868871
0.032, 0.929997, 0.9798550523842469, 0.0498580523842469
0.034, 0.929167, 0.9772681235681935, 0.048101123568193516
0.036, 0.93012, 0.9745268727865771, 0.04440687278657718
0.038, 0.932709, 0.971631732914674, 0.03892273291467396
0.04, 0.936712, 0.9685831611286311, 0.03187116112863109
0.042, 0.941846, 0.9653816388332739, 0.02353563883327392
0.044, 0.947777, 0.9620276715860859, 0.01425067158608595
0.046, 0.954129, 0.9585217890173758, 0.004392789017375831
0.048, 0.960507, 0.954864544746643, 0.005642455253357048
0.05, 0.966507, 0.9510565162951535, 0.015450483704846474
0.052, 0.971735, 0.9470983049947443, 0.02463669500525567
0.054, 0.97582, 0.9429905358928645, 0.0328294641071355
0.056, 0.978433, 0.9387338576538741, 0.039699142346125926
0.058, 0.979299, 0.934328942456612, 0.04497005754338801
0.06, 0.978206, 0.9297764858882515, 0.04842951411174856
0.062, 0.975014, 0.925077206834458, 0.049936793165542004
0.064, 0.969664, 0.9202318473658704, 0.04943215263412959
0.066, 0.962178, 0.9152411726209175, 0.046936827379082446
0.068, 0.952656, 0.9101059706849957, 0.04255002931500429
0.07, 0.941275, 0.9048270524660195, 0.03644794753398051
0.072, 0.928284, 0.8994052515663711, 0.02887874843362892
0.074, 0.913987, 0.8938414241512638, 0.02014557584873622
0.076, 0.898737, 0.8881364488135446, 0.01060055118645542
0.078, 0.88292, 0.8822912264349533, 0.0006287735650467585
0.08, 0.866938, 0.8763066800438636, 0.009368680043863598
0.082, 0.851195, 0.8701837546695257, 0.018988754669525654
0.084, 0.83608, 0.8639234171928353, 0.02784341719283523
0.086, 0.82195, 0.8575266561936523, 0.035576656193652356
0.088, 0.809118, 0.850994481794692, 0.041876481794691944
0.09, 0.797839, 0.8443279255020151, 0.04648892550201511
0.092, 0.7883, 0.8375280400421417, 0.04922804004214165
0.094, 0.780612, 0.8305958991958127, 0.0499838991958127
0.096, 0.774806, 0.8235325976284275, 0.04872659762842746
0.098, 0.770834, 0.816339250717184, 0.04550525071718403
0.1, 0.768566, 0.8090169943749475, 0.04045099437494748
0.102, 0.7678, 0.8015669848708766, 0.03376698487087659
0.104, 0.768268, 0.7939903986478354, 0.02572239864783543
0.106, 0.769647, 0.7862884321366189, 0.01664143213661895
0.108, 0.771573, 0.7784623015670235, 0.006889301567023498
0.11, 0.773653, 0.7705132427757893, 0.003139757224210782
0.112, 0.775485, 0.7624425110114479, 0.013042488988552092
0.114, 0.776671, 0.7542513807361038, 0.02241961926389624
0.116, 0.776834, 0.7459411454241821, 0.03089285457581792
0.118, 0.775635, 0.7375131173581739, 0.03812188264182603
0.12, 0.772784, 0.7289686274214116, 0.043815372578588474
0.122, 0.768052, 0.7203090248879069, 0.04774297511209302
0.124, 0.761283, 0.7115356772092853, 0.0497473227907147
0.126, 0.752398, 0.7026499697988492, 0.04974803020115082
0.128, 0.741397, 0.693653305812805, 0.04774369418719493
0.13, 0.728362, 0.6845471059286887, 0.04381489407131123
0.132, 0.713455, 0.6753328081210245, 0.038122191878975475
0.134, 0.696905, 0.6660118674342517, 0.030893132565748327
0.136, 0.679005, 0.6565857557529565, 0.022419244247043446
0.138, 0.660098, 0.6470559615694443, 0.013042038430555625
0.14, 0.640564, 0.6374239897486896, 0.003140010251310388
0.142, 0.620802, 0.6276913612907006, 0.006889361290700613
0.144, 0.601219, 0.6178596130903344, 0.01664061309033449
0.146, 0.582208, 0.6079302976946055, 0.025722297694605545
0.148, 0.564138, 0.5979049830575189, 0.03376698305751891
0.15, 0.547334, 0.5877852522924732, 0.04045125229247326
0.152, 0.532067, 0.5775727034222676, 0.045505703422267674
0.154, 0.518543, 0.5672689491267566, 0.04872594912675665
0.156, 0.506891, 0.5568756164881881, 0.04998461648818808
0.158, 0.497166, 0.5463943467342691, 0.049228346734269124
0.16, 0.489338, 0.5358267949789967, 0.04648879497899666
0.162, 0.483298, 0.5251746299612958, 0.04187662996129582
0.164, 0.478863, 0.5144395337815064, 0.035576533781506436
0.166, 0.475779, 0.5036232016357609, 0.0278442016357609
0.168, 0.473738, 0.49272734154829156, 0.01898934154829157
0.17, 0.472385, 0.4817536741017152, 0.009368674101715213
0.172, 0.471332, 0.47070393216533274, 0.0006280678346672341
0.174, 0.47018, 0.4595798606214879, 0.010600139378512063
0.176, 0.468529, 0.44838321609003245, 0.02014578390996752
0.178, 0.465994, 0.437115766650933, 0.02887823334906703
0.18, 0.462228, 0.42577929156507266, 0.03644870843492737
0.182, 0.456925, 0.41437558099328425, 0.04254941900671577
0.184, 0.449843, 0.40290643571366264, 0.04693656428633736
0.186, 0.440806, 0.39137366683720254, 0.04943233316279744
0.188, 0.429716, 0.3797790955218011, 0.049936904478198874
0.19, 0.416554, 0.3681245526846781, 0.048429447315321894
0.192, 0.401382, 0.35641187871325075, 0.044970121286749265
0.194, 0.384342, 0.344642923174517, 0.039699076825483015
0.196, 0.365649, 0.3328195445229867, 0.032829455477013325
0.198, 0.34558, 0.32094360980720943, 0.02463639019279057
0.2, 0.324468, 0.30901699437494745, 0.015451005625052527
0.202, 0.302684, 0.29704158157703486, 0.005642418422965145
0.204, 0.280627, 0.28501926246997616, 0.004392262469976149
0.206, 0.258701, 0.2729519355173254, 0.01425093551732537
0.208, 0.237306, 0.260841506289897, 0.023535506289897007
0.21, 0.216819, 0.24868988716485496, 0.03187088716485495
0.212, 0.197576, 0.23649899702372476, 0.03892299702372476
0.214, 0.179864, 0.22427076094938114, 0.04440676094938115
0.216, 0.163906, 0.2120071099220547, 0.04810110992205471
0.218, 0.149852, 0.199709980514407, 0.049857980514406985
0.22, 0.137776, 0.1873813145857247, 0.0496053145857247
0.222, 0.127668, 0.17502305897527604, 0.04735505897527603
0.224, 0.119441, 0.1626371651948837, 0.04319616519488369
0.226, 0.112929, 0.15022558912075706, 0.03729658912075706
0.228, 0.107895, 0.13779029068463797, 0.029895290684637962
0.23, 0.104044, 0.12533323356430426, 0.02128923356430426
0.232, 0.101031, 0.11285638487348158, 0.011825384873481587
0.234, 0.098477, 0.10036171485121491, 0.0018847148512149137
0.236, 0.095983, 0.0878511965507433, 0.008131803449256694
0.238, 0.093147, 0.07532680552793275, 0.017820194472067244
0.24, 0.089582, 0.06279051952931351, 0.026791480470686482
0.242, 0.084927, 0.0502443181797696, 0.034682681820230404
0.244, 0.078867, 0.0376901826699347, 0.041176817330065306
0.246, 0.071142, 0.02513009544333753, 0.046011904556662465
0.248, 0.061559, 0.012566039883352774, 0.04899296011664723
0.25, 0.05, 6.123233995736766e-17, 0.04999999999999994
0.252, 0.036427, -0.012566039883352653, 0.04899303988335266
0.254, 0.020881, -0.025130095443337407, 0.04601109544333741
0.256, 0.003486, -0.037690182669934576, 0.04117618266993458
0.258, -0.015562, -0.05024431817976947, 0.034682318179769474
0.26, -0.035999, -0.0627905195293134, 0.0267915195293134
0.262, -0.057506, -0.07532680552793264, 0.017820805527932637
0.264, -0.079719, -0.0878511965507432, 0.008132196550743195
0.266, -0.102246, -0.10036171485121502, 0.0018842851487849838
0.268, -0.124681, -0.1128563848734817, 0.011824615126518306
0.27, -0.146622, -0.12533323356430437, 0.021288766435695633
0.272, -0.167686, -0.13779029068463808, 0.029895709315361924
0.274, -0.187523, -0.15022558912075717, 0.03729741087924282
0.276, -0.205833, -0.16263716519488358, 0.043195834805116406
0.278, -0.222378, -0.17502305897527615, 0.047354941024723846
0.28, -0.236987, -0.18738131458572482, 0.04960568541427518
0.282, -0.249568, -0.1997099805144069, 0.049858019485593125
0.284, -0.260108, -0.2120071099220544, 0.0481008900779456
