VVFIN,ADV,die,NN,VVFIN, art
Komma,KOUS,die,NN,ADJD, art
CARD,NN,die,NN,VVFIN, art
NE,Komma,die,APPR,NN, prels
NE,NE,das,NN,$(, art
KON,VVFIN,der,NN,ART, art
NE,Komma,die,PPER,PRF, prels
NN,APPR,die,NE,NE, art
NN,Komma,das,APPR,PRF, prels
KON,VAFIN,die,NN,ART, art
VVFIN,Komma,die,PIS,APPR, prels
PPER,VMFIN,die,NN,ART, art
NE,$(,die,ADJA,NN, art
ADJA,NN,der,ADJA,NN, art
Komma,VVFIN,die,APPR,NN, art
ADV,PTKNEG,der,NN,ART, art
ADV,VAFIN,die,ADJA,NN, art
PRF,APPR,die,NN,VVFIN, art
VVFIN,Komma,das,NN,VVIZU, art
NN,Komma,das,APPR,NE, prels
NN,APPR,die,NN,VVPP, art
NN,Komma,die,PPER,ADV, prels
ADJA,NN,der,ADJA,NN, art
PTKVZ,APPR,die,ADJA,NN, art
ADJA,NN,der,NN,ADV, art
NN,APPR,der,NN,$(, art
NE,VAFIN,das,NN,ART, art
$(,Komma,der,ART,NN, prels
Komma,PRELS,die,NN,ART, art
NN,Komma,die,APPR,ART, prels
PRELS,APPR,der,ADJA,APPRART, art
ADJA,NN,der,NN,VVFIN, art
NN,Komma,das,APPRART,NN, prels
NN,$(,die,NN,VAFIN, art
ADJD,APPR,die,$(,NN, art
KOUS,PPER,das,NN,Komma, art
NN,APPR,das,ADJA,NN, art
NN,Komma,die,ADV,ADJD, prels
VAFIN,PIS,der,ADJA,NN, art
VAINF,Komma,die,PPER,PPOSAT, prels
VAINF,Komma,die,ADV,APPR, prels
NN,Komma,die,APPR,ART, prels
NN,APPR,der,NN,ART, art
NE,Komma,die,APPR,ART, prels
PRELS,APPR,die,NN,ART, art
APPRART,NN,der,NN,Komma, art
NN,VAFIN,die,NN,VVPP, art
VVFIN,NN,die,NN,PTKVZ, art
NN,ADV,die,NN,APPRART, art
ART,NN,der,NN,PTKZU, art
NE,APPR,der,NN,NE, art
NN,APPR,die,NN,Komma, art
NN,Komma,das,ADV,ART, prels
Komma,KOUS,das,NN,ADV, art
NN,APPR,die,NN,VAFIN, art
PIDAT,Komma,die,ADV,VVINF, prels
NE,Komma,der,PRF,ADV, prels
VVFIN,PIS,das,ADJA,NN, art
NE,CARD,das,NN,NE, art
NN,Komma,das,ART,NN, prels
Komma,PRELS,die,NN,APPR, art
PIS,APPR,der,NN,VVINF, art
PRF,ADV,die,NN,VVFIN, art
NE,Komma,der,NN,APPR, art
Komma,VVFIN,die,ADJA,NE, art
NN,VAFIN,der,NN,VVPP, art
Komma,KON,die,NN,VAFIN, art
APPR,NN,der,NN,$., art
NN,APPR,der,NN,NE, art
NN,APPR,der,NN,NE, art
PIDAT,NN,das,ADJA,NN, art
NN,Komma,die,PPER,ADV, prels
NN,APPR,die,ADJA,NN, art
NN,Komma,die,PRF,APPR, prels
PRF,APPR,der,ADJD,ADV, art
ART,NN,der,NN,$., art
VAFIN,ADV,das,NN,ART, art
Komma,ADV,der,NN,$., art
VMFIN,APPR,der,ADJA,NN, art
PROAV,VAFIN,die,NN,APPR, art
Komma,APPR,der,ADV,ART, art
NN,Komma,der,ADV,APPR, prels
ADJD,VVFIN,der,NN,NE, art
NE,Komma,das,APPRART,NN, prels
ART,NN,der,ADJA,NN, art
Komma,KOUS,die,NN,ADV, art
NN,APPR,der,NN,APPR, art
ADV,VMFIN,die,NN,VVPP, art
NN,VAFIN,die,NN,$., art
ART,NN,das,NN,ART, art
NN,APPR,der,NN,CARD, art
VVFIN,PRF,der,NN,$., art
NN,VVFIN,die,ADJA,NN, art
APPR,PRELS,die,NN,VVFIN, art
NN,Komma,der,PPOSAT,NN, prels
Komma,VVFIN,die,$(,NN, art
PPOSAT,NN,das,ADJA,NN, art
Komma,APPR,der,ADJA,NN, art
Komma,APPR,der,PRF,ADV, art
APPR,NN,der,ADJA,NN, art
VAFIN,Komma,die,PIDAT,ADJA, prels
APPRART,NN,der,ADJA,NN, art
VVFIN,ADV,das,NN,ART, art
ART,NN,der,NN,ADV, art
NN,APPR,die,NN,ADV, art
NE,Komma,der,APPR,NE, prels
ADV,APPR,die,NE,APPR, art
VVPP,Komma,der,NN,KON, art
NE,Komma,die,ADV,VVPP, prels
ADJD,APPR,der,ADJA,NN, art
NN,APPR,die,$(,NN, art
VVFIN,ADV,die,NN,Komma, art
NN,Komma,das,NN,ART, art
NN,Komma,die,APPR,NE, prels
VAFIN,PDS,die,NE,Komma, art
VVFIN,ADV,der,ADJA,NN, art
ADJA,NN,der,ADJA,NN, art
VAFIN,APPR,die,NN,ART, art
Komma,VVFIN,die,NN,ADV, art
NN,APPR,die,NN,ART, art
PTKNEG,ADV,das,NN,VVINF, art
ADJD,ADV,die,NN,ART, art
NE,VVFIN,der,NN,NE, art
APPRART,NN,der,NN,$(, art
VVPP,Komma,die,ADJA,NN, art
VAINF,Komma,die,ADV,NN, prels
ADJA,NN,der,NN,PTKVZ, art
NN,Komma,die,PPER,ADV, prels
NN,VVFIN,der,NN,NE, art
NN,Komma,das,ART,NN, prels
Komma,PRELS,die,NN,$(, art
NN,APPR,der,ADJA,NN, art
NN,VVFIN,der,NN,APPR, art
KOUS,APPR,der,NN,ART, art
VVFIN,KOKOM,die,ADJA,NN, art
ART,NN,der,$(,ADJA, art
VVFIN,APPR,die,NN,APPR, art
VMFIN,PRF,die,ADJA,APPR, art
NN,Komma,das,PTKNEG,ADJD, prels
ART,NN,der,PIDAT,NN, art
ADV,APPR,der,ADJA,NN, art
Komma,VVFIN,der,ADJA,NE, art
VAFIN,NE,das,ADJD,ADJA, art
ADJA,NN,der,ADJA,NN, art
KON,NN,der,NN,$., art
NN,Komma,die,PPER,APPR, prels
PROAV,VAFIN,die,NN,ADV, art
ADJD,VVFIN,die,PIDAT,ADJD, art
VVFIN,APPR,der,ADJA,NN, art
ADV,VVFIN,die,NN,APPR, art
NN,APPR,die,CARD,NN, art
NN,APPR,die,NN,ADJD, art
NN,Komma,der,ADV,ART, prels
Komma,APPR,der,NN,ART, art
NN,APPR,der,NN,VVINF, art
NN,Komma,die,ADV,APPR, prels
PPER,APPR,der,NN,PIS, art
NN,APPR,der,APPR,PROAV, art
ART,NN,der,ADJA,NN, art
PRF,ADV,der,ADJA,NN, art
NN,APPR,die,ADJA,NN, art
VVFIN,$(,das,$(,NN, art
Komma,VVFIN,die,NN,ART, art
NN,APPR,der,TRUNC,KON, art
NN,VVFIN,die,NE,ART, art
NN,Komma,der,ADV,PIAT, prels
APPRART,NN,der,NN,Komma, art
NN,VAFIN,der,NN,ADJD, art
NN,VVFIN,der,NN,APPR, art
ADJD,APPR,die,NN,KON, art
ADJD,$(,die,NN,APPR, art
NN,APPR,der,ADJA,NN, art
NN,APPR,der,NN,KON, art
